timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614679006963,1561,Kittens,200,OK,Bing Various 2-2,text,false,One or more sub-samples failed,669902,6789,5,8,http://www.bing.com/images/search?q=Kittens,43,0,19
1614679006963,43,Kittens-0,301,Moved Permanently,Bing Various 2-2,,false,Response was null,275,135,5,8,http://bing.com/images/search?q=Kittens,43,0,19
1614679007007,330,Kittens-1,200,OK,Bing Various 2-2,text,true,,470058,139,5,8,http://www.bing.com/images/search?q=Kittens,86,0,18
1614679007349,21,Kittens-2,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4616,138,5,8,http://www.bing.com/sa/simg/favicon-2x.ico,21,0,0
1614679007371,18,Kittens-3,200,OK,Bing Various 2-2,text,true,,1376,150,5,8,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,18,0,0
1614679007389,19,Kittens-4,200,OK,Bing Various 2-2,text,true,,1502,150,5,8,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,19,0,0
1614679007408,25,Kittens-5,200,OK,Bing Various 2-2,text,true,,1933,150,5,8,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,25,0,0
1614679007433,19,Kittens-6,200,OK,Bing Various 2-2,text,true,,1113,150,5,8,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,19,0,0
1614679007452,18,Kittens-7,200,OK,Bing Various 2-2,text,true,,1795,150,5,8,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,18,0,0
1614679007470,17,Kittens-8,200,OK,Bing Various 2-2,text,true,,1557,150,5,8,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,17,0,0
1614679007487,20,Kittens-9,200,OK,Bing Various 2-2,text,true,,1943,150,5,8,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,20,0,0
1614679007507,19,Kittens-10,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1505,150,5,8,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,19,0,0
1614679007526,18,Kittens-11,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1545,150,5,8,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,18,0,0
1614679007544,20,Kittens-12,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1210,150,5,8,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,20,0,0
1614679007564,19,Kittens-13,200,OK,Bing Various 2-2,text,true,,7544,150,5,8,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,19,0,0
1614679007584,23,Kittens-14,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1772,150,5,8,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,23,0,0
1614679007607,25,Kittens-15,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4626,150,5,8,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,25,0,0
1614679007632,19,Kittens-16,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2630,150,5,8,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,19,0,0
1614679007651,47,Kittens-17,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1602,203,5,8,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,47,0,22
1614679007699,47,Kittens-18,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1640,198,5,8,http://tse3.mm.bing.net/th?q=Ginger+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,47,0,21
1614679007747,45,Kittens-19,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1868,200,5,8,http://tse4.mm.bing.net/th?q=Too+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,45,0,17
1614679007792,23,Kittens-20,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1500,198,5,8,http://tse3.mm.bing.net/th?q=Fluffy+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,23,0,0
1614679007815,17,Kittens-21,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1509,201,5,8,http://tse4.mm.bing.net/th?q=Cute+Baby+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,17,0,0
1614679007832,20,Kittens-22,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2006,200,5,8,http://tse1.mm.bing.net/th?q=Precious+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,20,0,0
1614679007852,24,Kittens-23,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9373,184,5,8,http://tse4.mm.bing.net/th/id/OIP.g7X44N3UTeeiqR-bw-4tugHaFy?w=191&h=149&c=7&o=5&pid=1.7,24,0,0
1614679007876,20,Kittens-24,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7544,184,5,8,http://tse4.mm.bing.net/th/id/OIP.y09KdGz4r3jEnzA3XHeWvwHaE8?w=191&h=128&c=7&o=5&pid=1.7,20,0,0
1614679007897,24,Kittens-25,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,3973,184,5,8,http://tse3.mm.bing.net/th/id/OIP.iPPdhC1Lio2Qj-bOjyq6LgHaEK?w=191&h=107&c=7&o=5&pid=1.7,24,0,0
1614679007921,26,Kittens-26,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,18641,184,5,8,http://tse4.mm.bing.net/th/id/OIP.xO9-9frMZ9NjfJx9trxhBwDPEt?w=191&h=278&c=7&o=5&pid=1.7,23,0,0
1614679007947,87,Kittens-27,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12537,184,5,8,http://tse1.mm.bing.net/th/id/OIP.E5J6CtifNwNYEkCuJAkTBwHaJ4?w=191&h=255&c=7&o=5&pid=1.7,87,0,0
1614679008034,26,Kittens-28,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,11852,184,5,8,http://tse4.mm.bing.net/th/id/OIP.p7QwnVvTLTfiCBCddqt0-gAAAA?w=191&h=289&c=7&o=5&pid=1.7,26,0,0
1614679008060,20,Kittens-29,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,13199,232,5,8,http://tse4.mm.bing.net/th?q=Cute+Teacup+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,20,0,0
1614679008080,22,Kittens-30,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,14629,184,5,8,http://tse4.mm.bing.net/th/id/OIP.FXwOjB9bdzOykuPW-uVWQAHaJ3?w=191&h=255&c=7&o=5&pid=1.7,21,0,0
1614679008102,56,Kittens-31,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12081,184,5,8,http://tse3.mm.bing.net/th/id/OIP.d-tqJewhqKAcGLnJfE0JIAHaLO?w=191&h=289&c=7&o=5&pid=1.7,56,0,0
1614679008158,103,Kittens-32,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12312,184,5,8,http://tse2.mm.bing.net/th/id/OIP.lyOHk9GXL6KlyUyx3g8wdgAAAA?w=191&h=286&c=7&o=5&pid=1.7,103,0,39
1614679008261,71,Kittens-33,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,10198,184,5,8,http://tse4.mm.bing.net/th/id/OIP.ryWck3N9kgsZQIT7ZNNLhQHaLG?w=191&h=286&c=7&o=5&pid=1.7,71,0,0
1614679008332,53,Kittens-34,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7322,184,5,8,http://tse3.mm.bing.net/th/id/OIP.aw-rnbZtIHQn0AM4gL34ugHaE7?w=191&h=127&c=7&o=5&pid=1.7,53,0,0
1614679008385,55,Kittens-35,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9589,232,5,8,http://tse3.mm.bing.net/th?q=Little+Baby+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,55,0,0
1614679008441,23,Kittens-36,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,482,141,5,8,http://www.bing.com/sa/simg/Flag_Feedback.png,23,0,0
1614679008464,18,Kittens-37,200,OK,Bing Various 2-2,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,936,150,5,8,http://www.bing.com/rp/ytiieusXgM2K8bLkEDP-AS1ePds.png,18,0,0
1614679008482,23,Kittens-38,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1109,149,5,8,http://www.bing.com/rp/da3XTE4E24gCNAQJm5tKrqZDeuc.js,23,0,0
1614679008505,19,Kittens-39,200,OK,Bing Various 2-2,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7000,149,5,8,http://www.bing.com/rp/BVRRZgrJAOx-_HOHkWyllv5vdF4.js,19,0,0
1614679006478,2128,Kittens,200,OK,Bing Various 2-1,text,false,One or more sub-samples failed,668490,6973,4,7,http://www.bing.com/images/search?q=Kittens,72,0,47
1614679006478,72,Kittens-0,301,Moved Permanently,Bing Various 2-1,,false,Response was null,275,135,4,7,http://bing.com/images/search?q=Kittens,72,0,47
1614679006551,505,Kittens-1,200,OK,Bing Various 2-1,text,true,,453863,139,4,7,http://www.bing.com/images/search?q=Kittens,134,0,36
1614679007067,21,Kittens-2,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4616,138,4,7,http://www.bing.com/sa/simg/favicon-2x.ico,21,0,0
1614679007088,20,Kittens-3,200,OK,Bing Various 2-1,text,true,,1376,150,4,7,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,20,0,0
1614679007108,17,Kittens-4,200,OK,Bing Various 2-1,text,true,,1502,150,4,7,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,17,0,0
1614679007125,25,Kittens-5,200,OK,Bing Various 2-1,text,true,,1933,150,4,7,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,25,0,0
1614679007150,19,Kittens-6,200,OK,Bing Various 2-1,text,true,,1113,150,4,7,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,19,0,0
1614679007169,17,Kittens-7,200,OK,Bing Various 2-1,text,true,,1795,150,4,7,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,17,0,0
1614679007187,20,Kittens-8,200,OK,Bing Various 2-1,text,true,,1557,150,4,7,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,20,0,0
1614679007207,22,Kittens-9,200,OK,Bing Various 2-1,text,true,,1943,150,4,7,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,22,0,0
1614679007229,23,Kittens-10,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1505,150,4,7,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,23,0,0
1614679007252,21,Kittens-11,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1545,150,4,7,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,21,0,0
1614679007274,20,Kittens-12,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1210,150,4,7,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,20,0,0
1614679007295,20,Kittens-13,200,OK,Bing Various 2-1,text,true,,7544,150,4,7,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,20,0,0
1614679007315,22,Kittens-14,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1772,150,4,7,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,22,0,0
1614679007337,21,Kittens-15,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4626,150,4,7,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,21,0,0
1614679007358,22,Kittens-16,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2630,150,4,7,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,22,0,0
1614679007380,62,Kittens-17,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1602,203,4,7,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,62,0,35
1614679007443,60,Kittens-18,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1640,198,4,7,http://tse3.mm.bing.net/th?q=Ginger+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,60,0,37
1614679007503,68,Kittens-19,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1868,200,4,7,http://tse4.mm.bing.net/th?q=Too+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,68,0,40
1614679007571,22,Kittens-20,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1500,198,4,7,http://tse3.mm.bing.net/th?q=Fluffy+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,22,0,0
1614679007593,19,Kittens-21,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1509,201,4,7,http://tse4.mm.bing.net/th?q=Cute+Baby+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,19,0,0
1614679007612,22,Kittens-22,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2006,200,4,7,http://tse1.mm.bing.net/th?q=Precious+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,22,0,0
1614679007634,56,Kittens-23,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9374,184,4,7,http://tse4.mm.bing.net/th/id/OIP.g7X44N3UTeeiqR-bw-4tugHaFy?w=191&h=149&c=7&o=5&pid=1.7,55,0,0
1614679007690,52,Kittens-24,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7545,184,4,7,http://tse4.mm.bing.net/th/id/OIP.y09KdGz4r3jEnzA3XHeWvwHaE8?w=191&h=128&c=7&o=5&pid=1.7,52,0,0
1614679007742,44,Kittens-25,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,3974,184,4,7,http://tse3.mm.bing.net/th/id/OIP.iPPdhC1Lio2Qj-bOjyq6LgHaEK?w=191&h=107&c=7&o=5&pid=1.7,44,0,0
1614679007786,55,Kittens-26,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,18642,184,4,7,http://tse4.mm.bing.net/th/id/OIP.xO9-9frMZ9NjfJx9trxhBwDPEt?w=191&h=278&c=7&o=5&pid=1.7,55,0,0
1614679007841,85,Kittens-27,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12537,184,4,7,http://tse1.mm.bing.net/th/id/OIP.E5J6CtifNwNYEkCuJAkTBwHaJ4?w=191&h=255&c=7&o=5&pid=1.7,85,0,0
1614679007926,56,Kittens-28,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,11853,184,4,7,http://tse4.mm.bing.net/th/id/OIP.p7QwnVvTLTfiCBCddqt0-gAAAA?w=191&h=289&c=7&o=5&pid=1.7,56,0,0
1614679007982,51,Kittens-29,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,13200,232,4,7,http://tse4.mm.bing.net/th?q=Cute+Teacup+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,50,0,0
1614679008033,61,Kittens-30,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,14630,184,4,7,http://tse4.mm.bing.net/th/id/OIP.FXwOjB9bdzOykuPW-uVWQAHaJ3?w=191&h=255&c=7&o=5&pid=1.7,61,0,0
1614679008094,63,Kittens-31,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12081,184,4,7,http://tse3.mm.bing.net/th/id/OIP.d-tqJewhqKAcGLnJfE0JIAHaLO?w=191&h=289&c=7&o=5&pid=1.7,63,0,0
1614679008158,98,Kittens-32,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12312,184,4,7,http://tse2.mm.bing.net/th/id/OIP.lyOHk9GXL6KlyUyx3g8wdgAAAA?w=191&h=286&c=7&o=5&pid=1.7,98,0,35
1614679008256,76,Kittens-33,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,10198,184,4,7,http://tse4.mm.bing.net/th/id/OIP.ryWck3N9kgsZQIT7ZNNLhQHaLG?w=191&h=286&c=7&o=5&pid=1.7,76,0,0
1614679008332,51,Kittens-34,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7322,184,4,7,http://tse3.mm.bing.net/th/id/OIP.aw-rnbZtIHQn0AM4gL34ugHaE7?w=191&h=127&c=7&o=5&pid=1.7,51,0,0
1614679008383,57,Kittens-35,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9589,232,4,7,http://tse3.mm.bing.net/th?q=Little+Baby+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,57,0,0
1614679008440,81,Kittens-36,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,14776,184,4,7,http://tse4.mm.bing.net/th/id/OIP.sFUYyGfpDLPzoCtC3-UOoQHaJ4?w=191&h=255&c=7&o=5&pid=1.7,81,0,0
1614679008522,24,Kittens-37,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,482,141,4,7,http://www.bing.com/sa/simg/Flag_Feedback.png,24,0,0
1614679008546,21,Kittens-38,200,OK,Bing Various 2-1,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,936,150,4,7,http://www.bing.com/rp/ytiieusXgM2K8bLkEDP-AS1ePds.png,21,0,0
1614679008567,19,Kittens-39,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1109,149,4,7,http://www.bing.com/rp/da3XTE4E24gCNAQJm5tKrqZDeuc.js,19,0,0
1614679008586,20,Kittens-40,200,OK,Bing Various 2-1,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7000,149,4,7,http://www.bing.com/rp/BVRRZgrJAOx-_HOHkWyllv5vdF4.js,20,0,0
1614679007464,2239,Kittens,200,OK,Bing Various 2-3,text,false,One or more sub-samples failed,668687,6973,5,7,http://www.bing.com/images/search?q=Kittens,50,0,25
1614679007464,50,Kittens-0,301,Moved Permanently,Bing Various 2-3,,false,Response was null,275,135,5,7,http://bing.com/images/search?q=Kittens,50,0,25
1614679007514,487,Kittens-1,200,OK,Bing Various 2-3,text,true,,454062,139,5,7,http://www.bing.com/images/search?q=Kittens,106,0,19
1614679008012,24,Kittens-2,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4616,138,5,7,http://www.bing.com/sa/simg/favicon-2x.ico,24,0,0
1614679008036,19,Kittens-3,200,OK,Bing Various 2-3,text,true,,1376,150,5,7,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,19,0,0
1614679008055,16,Kittens-4,200,OK,Bing Various 2-3,text,true,,1502,150,5,7,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,16,0,0
1614679008071,18,Kittens-5,200,OK,Bing Various 2-3,text,true,,1933,150,5,7,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,18,0,0
1614679008089,20,Kittens-6,200,OK,Bing Various 2-3,text,true,,1113,150,5,7,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,20,0,0
1614679008110,20,Kittens-7,200,OK,Bing Various 2-3,text,true,,1795,150,5,7,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,20,0,0
1614679008130,20,Kittens-8,200,OK,Bing Various 2-3,text,true,,1557,150,5,7,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,20,0,0
1614679008150,21,Kittens-9,200,OK,Bing Various 2-3,text,true,,1943,150,5,7,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,21,0,0
1614679008172,17,Kittens-10,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1505,150,5,7,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,17,0,0
1614679008189,18,Kittens-11,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1545,150,5,7,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,18,0,0
1614679008207,21,Kittens-12,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1210,150,5,7,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,21,0,0
1614679008229,17,Kittens-13,200,OK,Bing Various 2-3,text,true,,7544,150,5,7,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,17,0,0
1614679008246,22,Kittens-14,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1772,150,5,7,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,22,0,0
1614679008269,19,Kittens-15,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,4626,150,5,7,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,19,0,0
1614679008288,23,Kittens-16,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2630,150,5,7,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,23,0,0
1614679008311,46,Kittens-17,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1602,203,5,7,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,46,0,22
1614679008357,49,Kittens-18,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1640,198,5,7,http://tse3.mm.bing.net/th?q=Ginger+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,49,0,26
1614679008406,71,Kittens-19,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1869,200,5,7,http://tse4.mm.bing.net/th?q=Too+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,71,0,23
1614679008478,27,Kittens-20,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1500,198,5,7,http://tse3.mm.bing.net/th?q=Fluffy+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,27,0,0
